"TAXOCODE","X3A_CODE","Scientific_name","AphiaID","Match.type","ScientificName","AphiaID_accepted","Kingdom","Phylum","Class","Order","Family","Genus","Subgenus","Species","Subspecies","WoRMSname","English_name","ISSCAAP","CatchGroup","ByCatchGroup"
"1705906701","GUE","Guianacara oelemariensis","1011517","exact","Guianacara oelemariensis","1011517","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae",,"",,,"","","12","other",
"6150100204","QGO","Spongia officinalis","165220","exact","Spongia (Spongia) officinalis","165220","Animalia","Porifera","Demospongiae","Dictyoceratida","Spongiidae","Spongia","Spongia","officinalis",,"Spongia (Spongia) officinalis","Greek bathing sponge","83","other",
"3210200202","CTC","Sepia officinalis","141444","exact","Sepia officinalis","141444","Animalia","Mollusca","Cephalopoda","Sepiida","Sepiidae","Sepia","","officinalis",,"Sepia officinalis","Common cuttlefish","57","molluscs",
"1480400212","GRC","Gadus ogac","158926","exact","Gadus ogac","158926","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","","ogac",,"Gadus ogac","Greenland cod","32","demersal",
"1400206701","ROG","Rohtee ogilbii","1022448","exact","Rohtee ogilbii","1022448","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae",,"",,,"","Vatani rohtee","11","other",
"1120100412","CYJ","Hydrolagus ogilbyi","271416","exact","Hydrolagus ogilbyi","271416","Animalia","Chordata","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus","","ogilbyi",,"Hydrolagus ogilbyi","","38","elasmobranchs",
"1210504202","THA","Opisthonema oglinum","158695","exact","Opisthonema oglinum","158695","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Opisthonema","","oglinum",,"Opisthonema oglinum","Atlantic thread herring","35","small pelagic",
"2281202341","BKH","Macrobrachium ohione","421686","exact","Macrobrachium ohione","421686","Animalia","Arthropoda","Malacostraca","Decapoda","Palaemonidae","Macrobrachium","","ohione",,"Macrobrachium ohione","Ohio river prawn","41","crustaceans",
"1732124502","TMK","Trimma okinawae","278508","exact","Trimma okinawae","278508","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Trimma","","okinawae",,"Trimma okinawae","Okinawa rubble goby","33","demersal",
"6191900101","LZO","Lepidisis olapa","286334","exact","Lepidisis olapa","286334","Animalia","Cnidaria","Anthozoa","Alcyonacea","Isididae","Lepidisis","","olapa",,"Lepidisis olapa","Unbranched bamboo coral","82","other",
"2281202342","BKF","Macrobrachium olfersii","421687","exact","Macrobrachium olfersii","421687","Animalia","Arthropoda","Malacostraca","Decapoda","Palaemonidae","Macrobrachium","","olfersii",,"Macrobrachium olfersii","Buchura river prawn","41","crustaceans",
"1230400801","PSM","Hypomesus olidus","254556","exact","Hypomesus olidus","254556","Animalia","Chordata","Actinopterygii","Osmeriformes","Osmeridae","Hypomesus","","olidus",,"Hypomesus olidus","Pond smelt","23","diadromous",
"1700220807","EMW","Plectropomus oligacanthus","277891","exact","Plectropomus oligacanthus","277891","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Plectropomus","","oligacanthus",,"Plectropomus oligacanthus","Highfin coralgrouper","33","demersal",
"1705934201","TCH","Ptychochromis oligacanthus","282511","exact","Ptychochromis oligacanthus","282511","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","Ptychochromis","","oligacanthus",,"Ptychochromis oligacanthus","","12","other",
"7711000103","GQY","Sargassum oligocystum","494981","exact","Sargassum oligocystum","494981","Chromista","Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Sargassum","","oligocystum",,"Sargassum oligocystum","Flat-stemmed sargassum","91","other",
"1707700120","QTC","Polydactylus oligodon","276596","exact","Polydactylus oligodon","276596","Animalia","Chordata","Actinopterygii","Perciformes","Polynemidae","Polydactylus","","oligodon",,"Polydactylus oligodon","Littlescale threadfin","33","demersal",
"1830805102","UHO","Pseudorhombus oligodon","277087","exact","Pseudorhombus oligodon","277087","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Pseudorhombus","","oligodon",,"Pseudorhombus oligodon","Roughscale flounder","31","flatfish",
"1611101001","HPO","Pristilepis oligolepis","217938","exact","Pristilepis oligolepis","217938","Animalia","Chordata","Actinopterygii","Beryciformes","Holocentridae","Pristilepis","","oligolepis",,"Pristilepis oligolepis","Spinyface soldier","33","demersal",
"1470401001","ECL","Cypselurus oligolepis","217867","exact","Cypselurus oligolepis","217867","Animalia","Chordata","Actinopterygii","Beloniformes","Exocoetidae","Cypselurus","","oligolepis",,"Cypselurus oligolepis","","37","small pelagic",
"1080204005","RHX","Rhizoprionodon oligolinx","217359","exact","Rhizoprionodon oligolinx","217359","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Rhizoprionodon","","oligolinx",,"Rhizoprionodon oligolinx","Grey sharpnose shark","38","elasmobranchs",
