"TAXOCODE","X3A_CODE","Scientific_name","AphiaID","Match.type","ScientificName","AphiaID_accepted","Kingdom","Phylum","Class","Order","Family","Genus","Subgenus","Species","Subspecies","WoRMSname","English_name","ISSCAAP","CatchGroup","ByCatchGroup"
"17503005XX","BXQ","Makaira spp","126013","exact","Makaira","126013","Animalia","Chordata","Actinopterygii","Perciformes","Istiophoridae","Makaira","","",,"Makaira","Marlins nei","36","large pelagic",
"69401003XX","WBX","Holothuria spp","123456","exact","Holothuria","123456","Animalia","Echinodermata","Holothuroidea","Aspidochirotida","Holothuriidae","Holothuria","","",,"Holothuria","","76","other",
"22810XXXXX","VWX","Oplophoridae","106786","exact","Oplophoridae","106786","Animalia","Arthropoda","Malacostraca","Decapoda","Oplophoridae","","","",,"Oplophoridae","","45","crustaceans",
"22830XXXXX","WJX","Nematocarcinidae","106784","exact","Nematocarcinidae","106784","Animalia","Arthropoda","Malacostraca","Decapoda","Nematocarcinidae","","","",,"Nematocarcinidae","","45","crustaceans",
"77110001XX","QWX","Sargassum spp","144132","exact","Sargassum","144132","Chromista","Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Sargassum","","",,"Sargassum","","91","other",
"78705015XX","QVX","Meristotheca spp","144179","exact","Meristotheca","144179","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Solieriaceae","Meristotheca","","",,"Meristotheca","","92","other",
"14002016XX","WDX","Carassius spp","154296","exact","Carassius","154296","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Carassius","","",,"Carassius","","11","other",
"14118087XX","WIX","Heterobranchus spp","269389","exact","Heterobranchus","269389","Animalia","Chordata","Actinopterygii","Siluriformes","Clariidae","Heterobranchus","","",,"Heterobranchus","Heterobranchus catfish nei","13","other",
"17719002XX","QRX","Parachanna spp","270193","exact","Parachanna","270193","Animalia","Chordata","Actinopterygii","Perciformes","Channidae","Parachanna","","",,"Parachanna","Parachanna snakeheads nei","13","other",
"32111015XX","FQX","Histioteuthis spp","138074","exact","Histioteuthis","138074","Animalia","Mollusca","Cephalopoda","Oegopsida","Histioteuthidae","Histioteuthis","","",,"Histioteuthis","","57","molluscs",
"14806021XX","QMX","Nezumia spp","125754","exact","Nezumia","125754","Animalia","Chordata","Actinopterygii","Gadiformes","Macrouridae","Nezumia","","",,"Nezumia","","32","demersal",
"14806022XX","QKX","Malacocephalus spp","125753","exact","Malacocephalus","125753","Animalia","Chordata","Actinopterygii","Gadiformes","Macrouridae","Malacocephalus","","",,"Malacocephalus","","32","demersal",
"15103022XX","IXX","Notopogon spp","206571","exact","Notopogon","206571","Animalia","Chordata","Actinopterygii","Syngnathiformes","Centriscidae","Notopogon","","",,"Notopogon","","34","demersal",
"17002208XX","IWX","Plectropomus spp","205015","exact","Plectropomus","205015","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Plectropomus","","",,"Plectropomus","Coralgroupers nei","33","demersal",
"10901017XX","QUX","Scymnodon spp","105778","exact","Scymnodon","105778","Animalia","Chordata","Elasmobranchii","Squaliformes","Somniosidae","Scymnodon","","",,"Scymnodon","Scymnodon dogfishes nei","38","elasmobranchs",
"12105013XX","JNX","Sardinops spp","203974","exact","Sardinops","203974","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Sardinops","","",,"Sardinops","Pilchards nei","35","small pelagic",
"23143088XX","GYX","Geryon spp","106918","exact","Geryon","106918","Animalia","Arthropoda","Malacostraca","Decapoda","Geryonidae","Geryon","","",,"Geryon","Geryons nei","42","crustaceans",
"17213XXXXX","VYX","Uranoscopidae","125573","exact","Uranoscopidae","125573","Animalia","Chordata","Actinopterygii","Perciformes","Uranoscopidae","","","",,"Uranoscopidae","Stargazers nei","34","demersal",
"17713XXXXX","VVX","Tripterygiidae","125572","exact","Tripterygiidae","125572","Animalia","Chordata","Actinopterygii","Perciformes","Tripterygiidae","","","",,"Tripterygiidae","Threefin blennies nei","33","demersal",
"17602021XX","QJX","Tetragonurus spp","126093","exact","Tetragonurus","126093","Animalia","Chordata","Actinopterygii","Perciformes","Tetragonuridae","Tetragonurus","","",,"Tetragonurus","Squaretails nei","37","small pelagic",
"15106XXXXX","VUX","Syngnathidae","125606","exact","Syngnathidae","125606","Animalia","Chordata","Actinopterygii","Syngnathiformes","Syngnathidae","","","",,"Syngnathidae","Pipefishes, seahorses nei","33","demersal",
"17208XXXXX","JIX","Percophidae","151412","exact","Percophidae","151412","Animalia","Chordata","Actinopterygii","Perciformes","Percophidae","","","",,"Percophidae","Duckbills nei","33","demersal",
"14502XXXXX","JDX","Notacanthidae","125501","exact","Notacanthidae","125501","Animalia","Chordata","Actinopterygii","Notacanthiformes","Notacanthidae","","","",,"Notacanthidae","Deep-sea spiny eels nei","34","demersal",
"17606XXXXX","VTX","Nomeidae","125548","exact","Nomeidae","125548","Animalia","Chordata","Actinopterygii","Perciformes","Nomeidae","","","",,"Nomeidae","Driftfishes nei","37","small pelagic",
"14308XXXXX","IVX","Moringuidae","151813","exact","Moringuidae","151813","Animalia","Chordata","Actinopterygii","Anguilliformes","Moringuidae","","","",,"Moringuidae","Spaghetti eels nei","33","demersal",
"14309XXXXX","IKX","Muraenesocidae","125430","exact","Muraenesocidae","125430","Animalia","Chordata","Actinopterygii","Anguilliformes","Muraenesocidae","","","",,"Muraenesocidae","","34","demersal",
"16501009XX","GXE","Cestraeus spp","268691","exact","Cestraeus","268691","Animalia","Chordata","Actinopterygii","Mugiliformes","Mugilidae","Cestraeus","","",,"Cestraeus","River mullets nei","33","demersal",
"13801009XX","VXX","Astyanax spp","268424","exact","Astyanax","268424","Animalia","Chordata","Actinopterygii","Characiformes","Characidae","Astyanax","","",,"Astyanax","Astyanax nei","13","other",
"143XXXXXXX","XAX","Anguilliformes","10295","exact","Anguilliformes","10295","Animalia","Chordata","Actinopterygii","Anguilliformes","","","","",,"Anguilliformes","Eels, morays, congers nei","34","demersal",
"31606006XX","IZX","Pinctada spp","138396","exact","Pinctada","138396","Animalia","Mollusca","Bivalvia","Pterioida","Pteriidae","Pinctada","","",,"Pinctada","Pearl oysters nei","81","other",
"30705002XX","UXS","Turbo spp","151576","exact","Turbo","151576","Animalia","Mollusca","Gastropoda","","Turbinidae","Turbo","","",,"Turbo","Turbans nei","52","molluscs",
"19008XXXXX","JHX","Molidae","125609","exact","Molidae","125609","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Molidae","","","",,"Molidae","Ocean sunfishes nei","37","small pelagic",
"17325XXXXX","JBX","Microdesmidae","151423","exact","Microdesmidae","151423","Animalia","Chordata","Actinopterygii","Perciformes","Microdesmidae","","","",,"Microdesmidae","Wormfishes nei","33","demersal",
"19509001XX","JEX","Himantolophus spp","125799","exact","Himantolophus","125799","Animalia","Chordata","Actinopterygii","Lophiiformes","Himantolophidae","Himantolophus","","",,"Himantolophus","","34","demersal",
"14501XXXXX","JGX","Halosauridae","125500","exact","Halosauridae","125500","Animalia","Chordata","Actinopterygii","Notacanthiformes","Halosauridae","","","",,"Halosauridae","Halosaurs nei","34","demersal",
"16202XXXXX","XJX","Grammicolepididae","125614","exact","Grammicolepididae","125614","Animalia","Chordata","Actinopterygii","Zeiformes","Grammicolepididae","","","",,"Grammicolepididae","Grammicolepidids nei","34","demersal",
"19201XXXXX","JMX","Gobiesocidae","125477","exact","Gobiesocidae","125477","Animalia","Chordata","Actinopterygii","Gobiesociformes","Gobiesocidae","","","",,"Gobiesocidae","Clingfishes nei","33","demersal",
"12901003XX","JZX","Elops spp","157873","exact","Elops","157873","Animalia","Chordata","Actinopterygii","Elopiformes","Elopidae","Elops","","",,"Elops","Ladyfishes nei","33","demersal",
"16103XXXXX","QNX","Diretmidae","125457","exact","Diretmidae","125457","Animalia","Chordata","Actinopterygii","Beryciformes","Diretmidae","","","",,"Diretmidae","Spinyfins nei","34","demersal",
"17714XXXXX","XYX","Clinidae","125530","exact","Clinidae","125530","Animalia","Chordata","Actinopterygii","Perciformes","Clinidae","","","",,"Clinidae","Clinids fishes nei","33","demersal",
"17067XXXXX","YZX","Cirrhitidae","151475","exact","Cirrhitidae","151475","Animalia","Chordata","Actinopterygii","Perciformes","Cirrhitidae","","","",,"Cirrhitidae","Hawkfishes nei","33","demersal",
"15805XXXXX","YXX","Carapidae","125504","exact","Carapidae","125504","Animalia","Chordata","Actinopterygii","Ophidiiformes","Carapidae","","","",,"Carapidae","Pearlfishes nei","33","demersal",
"17720XXXXX","YVX","Callionymidae","125522","exact","Callionymidae","125522","Animalia","Chordata","Actinopterygii","Perciformes","Callionymidae","","","",,"Callionymidae","Dragonets nei","33","demersal",
"14803018XX","VKX","Bregmaceros spp","125727","exact","Bregmaceros","125727","Animalia","Chordata","Actinopterygii","Gadiformes","Bregmacerotidae","Bregmaceros","","",,"Bregmaceros","","32","demersal",
"15207XXXXX","JQX","Ateleopodidae","125437","exact","Ateleopodidae","125437","Animalia","Chordata","Actinopterygii","Ateleopodiformes","Ateleopodidae","","","",,"Ateleopodidae","Jellynose fishes nei","37","small pelagic",
"12305XXXXX","JXX","Argentinidae","125508","exact","Argentinidae","125508","Animalia","Chordata","Actinopterygii","Osmeriformes","Argentinidae","","","",,"Argentinidae","Argentines nei","34","demersal",
"19502XXXXX","XPX","Antennariidae","125484","exact","Antennariidae","125484","Animalia","Chordata","Actinopterygii","Lophiiformes","Antennariidae","","","",,"Antennariidae","Frogfishes nei","33","demersal",
"17204XXXXX","XOX","Ammodytidae","125516","exact","Ammodytidae","125516","Animalia","Chordata","Actinopterygii","Perciformes","Ammodytidae","","","",,"Ammodytidae","Sandlances nei","33","demersal",
"14322XXXXX","JWX","Colocongridae","151816","exact","Colocongridae","151816","Animalia","Chordata","Actinopterygii","Anguilliformes","Colocongridae","","","",,"Colocongridae","","34","demersal",
"30746XXXXX","JVX","Terebridae","160424","exact","Terebridae","160424","Animalia","Mollusca","Gastropoda","Neogastropoda","Terebridae","","","",,"Terebridae","Auger shells nei","52","molluscs",
"30706XXXXX","JTX","Strombidae","23123","exact","Strombidae","23123","Animalia","Mollusca","Gastropoda","Littorinimorpha","Strombidae","","","",,"Strombidae","Conch shells nei","52","molluscs",
"64918001XX","JPX","Serpula spp","129580","exact","Serpula","129580","Animalia","Annelida","Polychaeta","Sabellida","Serpulidae","Serpula","","",,"Serpula","Segmented worms nei","77","other",
"30702XXXXX","JLX","Muricidae","148","exact","Muricidae","148","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","","","",,"Muricidae","Murex shells nei","52","molluscs",
"30732XXXXX","VGX","Mitridae","23073","exact","Mitridae","23073","Animalia","Mollusca","Gastropoda","Neogastropoda","Mitridae","","","",,"Mitridae","Mitres nei","52","molluscs",
"14703XXXXX","JKX","Hemiramphidae","125453","exact","Hemiramphidae","125453","Animalia","Chordata","Actinopterygii","Beloniformes","Hemiramphidae","","","",,"Hemiramphidae","Halfbeaks nei","37","small pelagic",
"30743XXXXX","JJX","Harpidae","196294","exact","Harpidae","196294","Animalia","Mollusca","Gastropoda","Neogastropoda","Harpidae","","","",,"Harpidae","Harp shells nei","52","molluscs",
"30738XXXXX","ZAX","Cypraeidae","23022","exact","Cypraeidae","23022","Animalia","Mollusca","Gastropoda","Littorinimorpha","Cypraeidae","","","",,"Cypraeidae","Cowries nei","52","molluscs",
"30745XXXXX","XUX","Conidae","14107","exact","Conidae","14107","Animalia","Mollusca","Gastropoda","Neogastropoda","Conidae","","","",,"Conidae","Cone shells nei","52","molluscs",
"30711XXXXX","XIX","Cassidae","22999","exact","Cassidae","22999","Animalia","Mollusca","Gastropoda","Littorinimorpha","Cassidae","","","",,"Cassidae","Helmets shells nei","52","molluscs",
"30710XXXXX","VAX","Bursidae","22995","exact","Bursidae","22995","Animalia","Mollusca","Gastropoda","Littorinimorpha","Bursidae","","","",,"Bursidae","Frog shell nei","52","molluscs",
"17012001XX","QLX","Apogon spp","125913","exact","Apogon","125913","Animalia","Chordata","Actinopterygii","Perciformes","Apogonidae","Apogon","","",,"Apogon","","33","demersal",
"17002115XX","IIX","Cephalopholis spp","206732","exact","Cephalopholis","206732","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Cephalopholis","","",,"Cephalopholis","","33","demersal",
"16201001XX","ZMX","Zeus spp","126251","exact","Zeus","126251","Animalia","Chordata","Actinopterygii","Zeiformes","Zeidae","Zeus","","",,"Zeus","","34","demersal",
"31626050XX","QQX","Tridacna spp","205753","exact","Tridacna","205753","Animalia","Mollusca","Bivalvia","Veneroida","Cardiidae","Tridacna","","",,"Tridacna","Giant clams nei","56","molluscs",
"23111006XX","QOX","Thalamita spp","106931","exact","Thalamita","106931","Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","Thalamita","","",,"Thalamita","","42","crustaceans",
"23111140XX","YUX","Scylla spp","205756","exact","Scylla","205756","Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","Scylla","","",,"Scylla","","42","crustaceans",
"17039224XX","UZX","Rhabdosargus spp","204190","exact","Rhabdosargus","204190","Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Rhabdosargus","","",,"Rhabdosargus","Stumpnoses nei","33","demersal",
"23103001XX","QIX","Ocypode spp","106970","exact","Ocypode","106970","Animalia","Arthropoda","Malacostraca","Decapoda","Ocypodidae","Ocypode","","",,"Ocypode","","42","crustaceans",
"14102042XX","FMX","Galeichthys spp","204607","exact","Galeichthys","204607","Animalia","Chordata","Actinopterygii","Siluriformes","Ariidae","Galeichthys","","",,"Galeichthys","","33","demersal",
"31611011XX","FZX","Gafrarium spp","138637","exact","Gafrarium","138637","Animalia","Mollusca","Bivalvia","Veneroida","Veneridae","Gafrarium","","",,"Gafrarium","Venus nei","56","molluscs",
"17052116XX","IHX","Chaetodon spp","125954","exact","Chaetodon","125954","Animalia","Chordata","Actinopterygii","Perciformes","Chaetodontidae","Chaetodon","","",,"Chaetodon","Butterflyfishes nei","33","demersal",
"19002011XX","TXV","Takifugu spp","205726","exact","Takifugu","205726","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Tetraodontidae","Takifugu","","",,"Takifugu","Pufferfishes nei","33","demersal",
"17801080XX","XTY","Trachyscorpia spp","126176","exact","Trachyscorpia","126176","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Trachyscorpia","","",,"Trachyscorpia","","34","demersal",
"17071309XX","WLX","Latridopsis spp","269613","exact","Latridopsis","269613","Animalia","Chordata","Actinopterygii","Perciformes","Latridae","Latridopsis","","",,"Latridopsis","","34","demersal",
"13813XXXXX","VJX","Alestidae","267003","exact","Alestidae","267003","Animalia","Chordata","Actinopterygii","Characiformes","Alestidae","","","",,"Alestidae","","13","other",
"14307XXXXX","VHX","Heterenchelyidae","125429","exact","Heterenchelyidae","125429","Animalia","Chordata","Actinopterygii","Anguilliformes","Heterenchelyidae","","","",,"Heterenchelyidae","","33","demersal",
"14320XXXXX","VFX","Nemichthyidae","125432","exact","Nemichthyidae","125432","Animalia","Chordata","Actinopterygii","Anguilliformes","Nemichthyidae","","","",,"Nemichthyidae","","34","demersal",
"13115XXXXX","VDX","Ipnopidae","125444","exact","Ipnopidae","125444","Animalia","Chordata","Actinopterygii","Aulopiformes","Ipnopidae","","","",,"Ipnopidae","","34","demersal",
"12315XXXXX","VBX","Platytroctidae","125514","exact","Platytroctidae","125514","Animalia","Chordata","Actinopterygii","Osmeriformes","Platytroctidae","","","",,"Platytroctidae","","34","demersal",
"12509XXXXX","VCX","Phosichthyidae","125602","exact","Phosichthyidae","125602","Animalia","Chordata","Actinopterygii","Stomiiformes","Phosichthyidae","","","",,"Phosichthyidae","","34","demersal",
"12503XXXXX","RQX","Stomiidae","125604","exact","Stomiidae","125604","Animalia","Chordata","Actinopterygii","Stomiiformes","Stomiidae","","","",,"Stomiidae","","34","demersal",
"11007024XX","NZX","Rhinoptera spp","105759","exact","Rhinoptera","105759","Animalia","Chordata","Elasmobranchii","Rajiformes","Myliobatidae","Rhinoptera","","",,"Rhinoptera","","38","elasmobranchs",
"17077001XX","QHX","Polydactylus spp","159849","exact","Polydactylus","159849","Animalia","Chordata","Actinopterygii","Perciformes","Polynemidae","Polydactylus","","",,"Polydactylus","","33","demersal",
"13805006XX","HZZ","Hemiodus spp","269358","exact","Hemiodus","269358","Animalia","Chordata","Actinopterygii","Characiformes","Hemiodontidae","Hemiodus","","",,"Hemiodus","","13","other",
"17037238XX","FYX","Stellifer spp","159336","exact","Stellifer","159336","Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Stellifer","","",,"Stellifer","","33","demersal",
"13801030XX","RRX","Serrasalmus spp","270882","exact","Serrasalmus","270882","Animalia","Chordata","Actinopterygii","Characiformes","Serrasalmidae","Serrasalmus","","",,"Serrasalmus","Piranhas nei","13","other",
"13812009XX","RWX","Semaprochilodus spp","270867","exact","Semaprochilodus","270867","Animalia","Chordata","Actinopterygii","Characiformes","Prochilodontidae","Semaprochilodus","","",,"Semaprochilodus","","13","other",
"13804012XX","SXZ","Schizodon spp","270826","exact","Schizodon","270826","Animalia","Chordata","Actinopterygii","Characiformes","Anostomidae","Schizodon","","",,"Schizodon","","13","other",
"14122021XX","RNX","Rhamdia spp","270723","exact","Rhamdia","270723","Animalia","Chordata","Actinopterygii","Siluriformes","Heptapteridae","Rhamdia","","",,"Rhamdia","","13","other",
"17209006XX","UYX","Pseudopercis spp","270605","exact","Pseudopercis","270605","Animalia","Chordata","Actinopterygii","Perciformes","Pinguipedidae","Pseudopercis","","",,"Pseudopercis","","33","demersal",
"11006006XX","QEX","Potamotrygon","270496","exact","Potamotrygon","270496","Animalia","Chordata","Elasmobranchii","Rajiformes","Potamotrygonidae","Potamotrygon","","",,"Potamotrygon","Freshwater river stingray nei","38","elasmobranchs",
"14122022XX","MXW","Pimelodus spp","270412","exact","Pimelodus","270412","Animalia","Chordata","Actinopterygii","Siluriformes","Pimelodidae","Pimelodus","","",,"Pimelodus","","13","other",
"17023049XX","OXQ","Oligoplites spp","159642","exact","Oligoplites","159642","Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Oligoplites","","",,"Oligoplites","Leatherjackets nei","37","small pelagic",
"16302002XX","OGW","Odontesthes spp","270070","exact","Odontesthes","270070","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinidae","Odontesthes","","",,"Odontesthes","","37","small pelagic",
"12106038XX","EZW","Lycengraulis spp","269754","exact","Lycengraulis","269754","Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Lycengraulis","","",,"Lycengraulis","Sabretooth anchovys nei","24","diadromous",
"13804011XX","LXZ","Leporinus spp","269644","exact","Leporinus","269644","Animalia","Chordata","Actinopterygii","Characiformes","Anostomidae","Leporinus","","",,"Leporinus","","13","other",
"14128086XX","HZY","Hypostomus spp","269463","exact","Hypostomus","269463","Animalia","Chordata","Actinopterygii","Siluriformes","Loricariidae","Hypostomus","","",,"Hypostomus","","13","other",
"14127047XX","HXV","Hoplosternum spp","269424","exact","Hoplosternum","269424","Animalia","Chordata","Actinopterygii","Siluriformes","Callichthyidae","Hoplosternum","","",,"Hoplosternum","","13","other",
"13808017XX","HVW","Hoplias spp","269419","exact","Hoplias","269419","Animalia","Chordata","Actinopterygii","Characiformes","Erythrinidae","Hoplias","","",,"Hoplias","","13","other",
"14306004XX","AXZ","Gymnothorax spp","125636","exact","Gymnothorax","125636","Animalia","Chordata","Actinopterygii","Anguilliformes","Muraenidae","Gymnothorax","","",,"Gymnothorax","","33","demersal",
"17059148XX","GXX","Geophagus spp","269200","exact","Geophagus","269200","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","Geophagus","","",,"Geophagus","","12","other",
"17059054XX","IGX","Cichla spp","268770","exact","Cichla","268770","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","Cichla","","",,"Cichla","","12","other",
"13801013XX","BXH","Brycon spp","268606","exact","Brycon","268606","Animalia","Chordata","Actinopterygii","Characiformes","Bryconidae","Brycon","","",,"Brycon","","13","other",
"13815XXXXX","AZR","Acestrorhynchidae","151963","exact","Acestrorhynchidae","151963","Animalia","Chordata","Actinopterygii","Characiformes","Acestrorhynchidae","","","",,"Acestrorhynchidae","","13","other",
"61935XXXXX","QON","Primnoidae","125278","exact","Primnoidae","125278","Animalia","Cnidaria","Anthozoa","Alcyonacea","Primnoidae","","","",,"Primnoidae","","82","other",
"61934XXXXX","BWV","Paragorgiidae","125281","exact","Paragorgiidae","125281","Animalia","Cnidaria","Anthozoa","Alcyonacea","Paragorgiidae","","","",,"Paragorgiidae","","82","other",
"61936XXXXX","QFY","Chrysogorgiidae","125273","exact","Chrysogorgiidae","125273","Animalia","Cnidaria","Anthozoa","Alcyonacea","Chrysogorgiidae","","","",,"Chrysogorgiidae","","82","other",
"61919001XX","QFX","Lepidisis spp","125307","exact","Lepidisis","125307","Animalia","Cnidaria","Anthozoa","Alcyonacea","Isididae","Lepidisis","","",,"Lepidisis","","82","other",
"69202002XX","QCX","Gorgonocephalus spp","123586","exact","Gorgonocephalus","123586","Animalia","Echinodermata","Ophiuroidea","Euryalida","Gorgonocephalidae","Gorgonocephalus","","",,"Gorgonocephalus","Gorgons head basket-stars nei","76","other",
"69113001XX","ZOR","Zoroaster spp","123237","exact","Zoroaster","123237","Animalia","Echinodermata","Asteroidea","Forcipulatida","Zoroasteridae","Zoroaster","","",,"Zoroaster","Rat-tail stars nei","76","other",
"69109XXXXX","BHZ","Brisingidae","123119","exact","Brisingidae","123119","Animalia","Echinodermata","Asteroidea","Brisingida","Brisingidae","","","",,"Brisingidae","Armless stars","76","other",
"14122090XX","UPY","Pseudoplatystoma spp","270611","exact","Pseudoplatystoma","270611","Animalia","Chordata","Actinopterygii","Siluriformes","Pimelodidae","Pseudoplatystoma","","",,"Pseudoplatystoma","Sorubims nei","13","other",
"65501001XX","QDX","Colossendeis spp","134586","exact","Colossendeis","134586","Animalia","Arthropoda","Pycnogonida","Pantopoda","Colossendeidae","Colossendeis","","",,"Colossendeis","Giant sea spiders nei","75","other",
"61946XXXXX","KKV","Actinostolidae","100655","exact","Actinostolidae","100655","Animalia","Cnidaria","Anthozoa","Actiniaria","Actinostolidae","","","",,"Actinostolidae","","82","other",
"61909XXXXX","KKW","Hormathiidae","100672","exact","Hormathiidae","100672","Animalia","Cnidaria","Anthozoa","Actiniaria","Hormathiidae","","","",,"Hormathiidae","","82","other",
"61402001XX","GVX","Acanthascus spp","171966","exact","Acanthascus","171966","Animalia","Porifera","Hexactinellida","Lyssacinosida","Rossellidae","Acanthascus","","",,"Acanthascus","","83","other",
"23019004XX","UWX","Uroptychus spp","106833","exact","Uroptychus","106833","Animalia","Arthropoda","Malacostraca","Decapoda","Chirostylidae","Uroptychus","","",,"Uroptychus","","44","crustaceans",
"23019002XX","UEX","Munida spp","106835","exact","Munida","106835","Animalia","Arthropoda","Malacostraca","Decapoda","Munididae","Munida","","",,"Munida","","44","crustaceans",
"22302001XX","AJX","Acutiserolis spp","175135","exact","Acutiserolis","175135","Animalia","Arthropoda","Malacostraca","Isopoda","Serolidae","Acutiserolis","","",,"Acutiserolis","Spiny serolid isopod","47","crustaceans",
"22810005XX","QAX","Oplophorus spp","107026","exact","Oplophorus","107026","Animalia","Arthropoda","Malacostraca","Decapoda","Oplophoridae","Oplophorus","","",,"Oplophorus","","45","crustaceans",
"22810001XX","FBX","Acanthephyra spp","107018","exact","Acanthephyra","107018","Animalia","Arthropoda","Malacostraca","Decapoda","Acanthephyridae","Acanthephyra","","",,"Acanthephyra","Subantarctic ruby prawn nei","45","crustaceans",
"22830001XX","NYX","Nematocarcinus spp","107015","exact","Nematocarcinus","107015","Animalia","Arthropoda","Malacostraca","Decapoda","Nematocarcinidae","Nematocarcinus","","",,"Nematocarcinus","Spider prawns nei","45","crustaceans",
"32127001XX","QBX","Opisthoteuthis spp","138294","exact","Opisthoteuthis","138294","Animalia","Mollusca","Cephalopoda","Octopoda","Opisthoteuthidae","Opisthoteuthis","","",,"Opisthoteuthis","Umbrella octopus nei","57","molluscs",
"32109066XX","DWO","Graneledone spp","157018","exact","Graneledone","157018","Animalia","Mollusca","Cephalopoda","Octopoda","Octopodidae","Graneledone","","",,"Graneledone","","57","molluscs",
"64922001XX","UFX","Thermiphione spp","324994","exact","Thermiphione","324994","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Thermiphione","","",,"Thermiphione","Thermiphione scaleworms","77","other",
"61931001XX","FIX","Flabellum spp","135114","exact","Flabellum","135114","Animalia","Cnidaria","Anthozoa","Scleractinia","Flabellidae","Flabellum","","",,"Flabellum","Flabellum cup corals nei","82","other",
"61703002XX","NWX","Lepidotheca spp","231552","exact","Lepidotheca","231552","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Stylasteridae","Lepidotheca","","",,"Lepidotheca","Spiny white hydrocorals nei","82","other",
"61703001XX","DWX","Errina spp","117242","exact","Errina","117242","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Stylasteridae","Errina","","",,"Errina","Red hydrocorals nei","82","other",
"61919XXXXX","IQO","Isididae","125276","exact","Isididae","125276","Animalia","Cnidaria","Anthozoa","Alcyonacea","Isididae","","","",,"Isididae","","82","other",
"61936002XX","FHX","Chrysogorgia spp","125294","exact","Chrysogorgia","125294","Animalia","Cnidaria","Anthozoa","Alcyonacea","Chrysogorgiidae","Chrysogorgia","","",,"Chrysogorgia","","82","other",
"61943001XX","UXX","Telesto spp","177688","exact","Telesto","177688","Animalia","Cnidaria","Anthozoa","Alcyonacea","Clavulariidae","Telesto","","",,"Telesto","Long polyp soft corals nei","82","other",
"61942001XX","NVX","Liponema spp","100769","exact","Liponema","100769","Animalia","Cnidaria","Anthozoa","Actiniaria","Liponematidae","Liponema","","",,"Liponema","","82","other",
"61903004XX","BVX","Bolocera spp","100698","exact","Bolocera","100698","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Bolocera","","",,"Bolocera","","82","other",
"61937001XX","AJG","Anthoptilum spp","128489","exact","Anthoptilum","128489","Animalia","Cnidaria","Anthozoa","Pennatulacea","Anthoptilidae","Anthoptilum","","",,"Anthoptilum","","82","other",
"61933001XX","PZL","Paramuricea spp","125311","exact","Paramuricea","125311","Animalia","Cnidaria","Anthozoa","Alcyonacea","Plexauridae","Paramuricea","","",,"Paramuricea","","82","other",
"61918003XX","QYX","Stichopathes spp","103308","exact","Stichopathes","103308","Animalia","Cnidaria","Anthozoa","Antipatharia","Antipathidae","Stichopathes","","",,"Stichopathes","","82","other",
"61929XXXXX","NYZ","Nephtheidae","146762","exact","Nephtheidae","146762","Animalia","Cnidaria","Anthozoa","Alcyonacea","Nephtheidae","","","",,"Nephtheidae","","82","other",
"61928001XX","BXX","Anthomastus spp","125285","exact","Anthomastus","125285","Animalia","Cnidaria","Anthozoa","Alcyonacea","Alcyoniidae","Anthomastus","","",,"Anthomastus","","82","other",
"618XXXXXXX","SZY","Scyphozoa","135220","exact","Scyphozoa","135220","Animalia","Cnidaria","Scyphozoa","","","","","",,"Scyphozoa","","77","other",
"23021XXXXX","CZM","Paguridae","106738","exact","Paguridae","106738","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","","","",,"Paguridae","Right-handed hermit crabs nei","44","crustaceans",
"56702XXXXX","ITV","Phalacrocoracidae","136993","exact","Phalacrocoracidae","136993","Animalia","Chordata","Aves","Pelecaniformes","Phalacrocoracidae","","","",,"Phalacrocoracidae","Cormorants nei",,"incidental by-catch","birds"
"56201XXXXX","TZH","Anatidae","136973","exact","Anatidae","136973","Animalia","Chordata","Aves","Anseriformes","Anatidae","","","",,"Anatidae","Ducks, geese and swans nei",,"incidental by-catch","birds"
