SpeciesLaName,CLarea,Stock
Actinopterygii,21.1.a,
Actinopterygii,21.1.b,
Actinopterygii,21.3.l,
Actinopterygii,21.3.m,
Actinopterygii,21.3.n,
Actinopterygii,21.3.o,
Actinopterygii,21.4.v,
Alepocephalus bairdii,21.1.c,
Ammodytes,21.3.m,
Anarhichas,21.3.l,
Anarhichas,21.3.m,
Anarhichas,21.3.n,
Anarhichas,21.3.o,
Anarhichas denticulatus,21.1.c,
Anarhichas denticulatus,21.1.d,
Anarhichas denticulatus,21.3.m,
Anarhichas denticulatus,21.3.n,
Anarhichas lupus,21.3.l,
Anarhichas lupus,21.3.m,
Anarhichas lupus,21.3.n,
Anarhichas minor,21.3.l,
Anarhichas minor,21.3.m,
Anarhichas minor,21.3.n,
Antimora rostrata,21.3.l,
Antimora rostrata,21.3.m,
Antimora rostrata,21.3.n,
Antimora rostrata,21.3.o,
Argentina,21.3.m,
Argentina,21.3.o,
Boreogadus saida,21.1.a,
Boreogadus saida,21.1.b,
Brachyura,21.3.n,
Brachyura,21.3.o,
Centroscyllium fabricii,21.3.l,
Centroscyllium fabricii,21.3.m,
Cetorhinus maximus,21.3.m,
Cetorhinus maximus,21.3.o,
Chionoecetes opilio,21.3.n,
Chionoecetes opilio,21.3.o,
Coryphaena hippurus,21.3.m,
Coryphaena hippurus,21.3.n,
Coryphaenoides rupestris,21.1.c,
Coryphaenoides rupestris,21.1.d,
Coryphaenoides rupestris,21.3.l,
Coryphaenoides rupestris,21.3.m,
Coryphaenoides rupestris,21.3.n,
Coryphaenoides rupestris,21.3.o,
Elasmobranchii,21.3.m,
Elasmobranchii,21.3.n,
Gadus morhua,21.2.j,Div. 2J3KL
Gadus morhua,21.3.k,Div. 2J3KL
Gadus morhua,21.3.l,Div. 2J3KL
Gadus morhua,21.3.m,Div. 3M
Gadus morhua,21.3.n,Div. 3NO
Gadus morhua,21.3.o,Div. 3NO
Gaidropsarus ensis,21.3.l,
Gaidropsarus ensis,21.3.m,
Gaidropsarus ensis,21.3.n,
Glyptocephalus cynoglossus,21.3.l,
Glyptocephalus cynoglossus,21.3.m,
Glyptocephalus cynoglossus,21.3.n,Div. 3NO
Glyptocephalus cynoglossus,21.3.o,Div. 3NO
Hippoglossoides platessoides,21.3.l,Div. 3LNO
Hippoglossoides platessoides,21.3.m,Div. 3M
Hippoglossoides platessoides,21.3.n,Div. 3LNO
Hippoglossoides platessoides,21.3.o,Div. 3LNO
Hippoglossus hippoglossus,21.1.c,
Hippoglossus hippoglossus,21.3.l,
Hippoglossus hippoglossus,21.3.m,
Hippoglossus hippoglossus,21.3.n,
Hippoglossus hippoglossus,21.3.o,
Holothuroidea,21.3.n,
Holothuroidea,21.3.o,
Illex argentinus,21.3.n,
Illex argentinus,21.3.o,
Illex illecebrosus,21.3.k,SA 3 + 4
Illex illecebrosus,21.3.l,SA 3 + 4
Illex illecebrosus,21.3.m,SA 3 + 4
Illex illecebrosus,21.3.n,SA 3 + 4
Illex illecebrosus,21.3.o,SA 3 + 4
Illex illecebrosus,21.3.p,SA 3 + 4
Illex illecebrosus,21.4.r,SA 3 + 4
Illex illecebrosus,21.4.s,SA 3 + 4
Illex illecebrosus,21.4.t,SA 3 + 4
Illex illecebrosus,21.4.v,SA 3 + 4
Illex illecebrosus,21.4.w,SA 3 + 4
Illex illecebrosus,21.4.x,SA 3 + 4
Istiompax indica,21.3.m,
Isurus oxyrinchus,21.3.n,
Isurus oxyrinchus,21.3.o,
Lamna nasus,21.3.l,
Lamna nasus,21.3.m,
Lamna nasus,21.3.n,
Lamna nasus,21.3.o,
Lepidocybium flavobrunneum,21.3.m,
Lepidocybium flavobrunneum,21.3.n,
Lepidocybium flavobrunneum,21.3.o,
Lepidocybium flavobrunneum,21.6.g,
Lepidocybium flavobrunneum,21.6.h,
Lophius americanus,21.3.l,
Lophius americanus,21.3.n,
Lophius americanus,21.3.o,
Macrourus berglax,21.1.c,
Macrourus berglax,21.1.d,
Macrourus berglax,21.2.g,SA 2 + 3
Macrourus berglax,21.2.h,SA 2 + 3
Macrourus berglax,21.2.j,SA 2 + 3
Macrourus berglax,21.3.k,SA 2 + 3
Macrourus berglax,21.3.l,SA 2 + 3
Macrourus berglax,21.3.m,SA 2 + 3
Macrourus berglax,21.3.n,SA 2 + 3
Macrourus berglax,21.3.o,SA 2 + 3
Macrourus berglax,21.3.p,SA 2 + 3
Makaira nigricans,21.3.m,
Makaira nigricans,21.3.n,
Malacocephalus laevis,21.3.l,
Malacocephalus laevis,21.3.m,
Mallotus villosus,21.3.n,Div. 3NO
Mallotus villosus,21.3.o,Div. 3NO
Melanogrammus aeglefinus,21.3.l,
Melanogrammus aeglefinus,21.3.m,
Melanogrammus aeglefinus,21.3.n,
Melanogrammus aeglefinus,21.3.o,
Merluccius,21.3.o,
Merluccius bilinearis,21.3.l,
Merluccius bilinearis,21.3.m,
Merluccius bilinearis,21.3.n,
Merluccius bilinearis,21.3.o,
Merluccius hubbsi,21.3.o,
Myzopsetta ferruginea,21.3.m,
Myzopsetta ferruginea,21.3.n,
Myzopsetta ferruginea,21.3.o,
Pandalus borealis,21.0.a,Subarea 1 and Div. 0A
Pandalus borealis,21.1.a,Subarea 1 and Div. 0A
Pandalus borealis,21.1.b,Subarea 1 and Div. 0A
Pandalus borealis,21.1.c,Subarea 1 and Div. 0A
Pandalus borealis,21.1.d,Subarea 1 and Div. 0A
Pandalus borealis,21.1.e,Subarea 1 and Div. 0A
Pandalus borealis,21.1.f,Subarea 1 and Div. 0A
Pandalus borealis,21.3.m,3M
Patagonotothen ramsayi,21.4.s,
Phycis chesteri,21.3.l,
Pollachius virens,21.3.m,
Pollachius virens,21.3.o,
Prionace glauca,21.3.l,
Prionace glauca,21.3.m,
Prionace glauca,21.3.n,
Prionace glauca,21.3.o,
Prionace glauca,21.4.v,
Prionace glauca,21.6.g,
Prionace glauca,21.6.h,
Raja,21.3.l,
Raja,21.3.m,
Raja,21.3.n,
Raja,21.3.o,
Rajiformes,21.1.c,
Reinhardtius hippoglossoides,21.0.a,SA 0 and 1 (offshore)
Reinhardtius hippoglossoides,21.0.b,SA 0 and 1 (offshore)
Reinhardtius hippoglossoides,21.1.a,SA 0 and 1 (offshore)
Reinhardtius hippoglossoides,21.1.b,SA 0 and 1 (offshore)
Reinhardtius hippoglossoides,21.1.c,SA 0 and 1 (offshore)
Reinhardtius hippoglossoides,21.1.d,SA 0 and 1 (offshore)
Reinhardtius hippoglossoides,21.1.e,SA 0 and 1 (offshore)
