SpeciesLaName,CLarea,Stock
Reinhardtius hippoglossoides,21.1.f,SA 0 and 1 (offshore)
Reinhardtius hippoglossoides,21.2.g,SA 2 + Div. 3KLMNO
Reinhardtius hippoglossoides,21.2.h,SA 2 + Div. 3KLMNO
Reinhardtius hippoglossoides,21.2.j,SA 2 + Div. 3KLMNO
Reinhardtius hippoglossoides,21.3.k,SA 2 + Div. 3KLMNO
Reinhardtius hippoglossoides,21.3.l,SA 2 + Div. 3KLMNO
Reinhardtius hippoglossoides,21.3.m,SA 2 + Div. 3KLMNO
Reinhardtius hippoglossoides,21.3.n,SA 2 + Div. 3KLMNO
Reinhardtius hippoglossoides,21.3.o,SA 2 + Div. 3KLMNO
Ruvettus pretiosus,21.3.m,
Ruvettus pretiosus,21.3.n,
Ruvettus pretiosus,21.6.h,
Scyliorhinidae,21.0.a,
Sebastes,21.3.l,Div. 3LN
Sebastes,21.3.m,Div. 3M
Sebastes,21.3.n,Div. 3LN
Sebastes,21.3.o,Div. 3O
Sebastes mentella,21.1.a,SA 1
Sebastes mentella,21.1.b,SA 1
Sebastes mentella,21.1.c,SA 1
Sebastes mentella,21.1.d,SA 1
Sebastes mentella,21.1.e,SA 1
Sebastes mentella,21.1.f,SA 1
Sebastes mentella,21.3.l,Div. 3LN
Sebastes mentella,21.3.m,Div. 3M
Sebastes mentella,21.3.n,Div. 3LN
Sebastes norvegicus,21.1.a,SA 1
Sebastes norvegicus,21.1.b,SA 1
Sebastes norvegicus,21.1.c,SA 1
Sebastes norvegicus,21.1.d,SA 1
Sebastes norvegicus,21.1.e,SA 1
Sebastes norvegicus,21.1.f,SA 1
Sebastes norvegicus,21.3.l,Div. 3LN
Sebastes norvegicus,21.3.m,Div. 3M
Sebastes norvegicus,21.3.n,Div. 3LN
Sebastes norvegicus,21.3.o,Div. 3O
Somniosus microcephalus,21.3.l,
Somniosus microcephalus,21.3.m,
Somniosus microcephalus,21.3.n,
Squalidae,21.1.c,
Squalidae,21.1.d,
Squalidae,21.3.l,
Squalidae,21.3.m,
Squalidae,21.3.n,
Squalidae,21.3.o,
Squaliformes,21.3.l,
Squaliformes,21.3.m,
Squaliformes,21.3.n,
Squaliformes,21.3.o,
Squalus acanthias,21.3.n,
Squalus acanthias,21.3.o,
Thunnus,21.3.n,
Thunnus,21.3.o,
Thunnus alalunga,21.3.n,
Thunnus obesus,21.3.m,
Thunnus obesus,21.3.n,
Thunnus obesus,21.6.g,
Thunnus obesus,21.6.h,
Thunnus thynnus,21.3.m,
Thunnus thynnus,21.3.n,
Thunnus thynnus,21.3.o,
Triglidae,21.0.a,
Trisopterus luscus,21.0.a,
Urophycis chuss,21.3.l,
Urophycis chuss,21.3.m,
Urophycis chuss,21.3.n,
Urophycis chuss,21.3.o,
Urophycis tenuis,21.3.l,
Urophycis tenuis,21.3.m,
Urophycis tenuis,21.3.n,Div. 3NO Subdiv. 3PS
Urophycis tenuis,21.3.o,Div. 3NO Subdiv. 3PS
Urophycis tenuis,21.3.p.s,Div. 3NO Subdiv. 3PS
Xiphias gladius,21.3.l,
Xiphias gladius,21.3.m,
Xiphias gladius,21.3.n,
Xiphias gladius,21.3.o,
Xiphias gladius,21.6.g,
Xiphias gladius,21.6.h,
