"Country_Code";"CFR";"UVI";"Event_Code";"Event_Start_Date";"Event_End_Date";"Registration_Nbr";"Ext_Marking";"Vessel_Name";"Port_Code";"Port_Name";"IRCS";"IRCS_Code";"License_Ind";"Vms_Code";"ERS_Code";"ERS_Exempt_Code";"AIS_Code";"MMSI";"Vessel_Type";"Gear_Main_Code";"Gear_1_Code";"Gear_2_Code";"Gear_3_Code";"Gear_4_Code";"Gear_5_Code";"Loa";"Lbp";"Ton_Gt";"Ton_Oth";"Ton_Gts";"Power_Main";"Power_Aux";"Hull_Material";"Com_Date";"Segment";"Exp_Country";"Exp_Type";"Public_Aid_Code";"Construction_Year"
"SWE";"BEL013491989";NA;"IMP";19980217;19981204;"SIRW";"SG76";"NETANYA";"365";"";"SIRW";"Y";"Y";"N";"";"";"";NA;"FX";"GND";"LLD";NA;NA;NA;NA;"16.55";"0.00";"68.00";"0.00";"0.00";"315.00";"0.00";2;"1998-02-17";"4M4";"GBR";"";"PA";"1989-01-01"
"SWE";"BEL013491989";NA;"MOD";19981205;19981205;"SIRW";"SG76";"NETANYA";"365";"";"SIRW";"Y";"N";"N";"";"";"";NA;"FX";"GND";"LLD";NA;NA;NA;NA;"16.55";"0.00";"68.00";"0.00";"0.00";"315.00";"0.00";2;"1998-02-17";"4M4";"";"";"PA";"1989-01-01"
"SWE";"BEL013491989";NA;"DES";19981231;19981231;"SIRW";"SG76";"NETANYA";"SEKRS";"Krokås";"SIRW";"Y";"N";"Y";"Y";"N";"N";NA;"FX";"GND";"LLD";NA;NA;NA;NA;"16.55";"0.00";"68.00";"0.00";"0.00";"315.00";"0.00";2;"1998-02-17";"4M4";"";"";"PA";"1989-01-01"
"SWE";"BEL013491989";NA;"DES";19981231;19981231;"SIRW";"SG76";"NETANYA";"SEKRS";"Krokås";"SIRW";"Y";"N";"Y";"N";"";"N";NA;"FX";"GND";"LLD";NA;NA;NA;NA;"16.55";"0.00";"68.00";"0.00";"0.00";"315.00";"0.00";2;"1998-02-17";"4M4";"";"";"PA";"1989-01-01"
"SWE";"DEU000130630";NA;"IMP";20150315;20150711;"SFD2268";"VY21";"AXELIA";"SERNH";"Ronehamn";"SFD2268";"Y";"Y";"N";"Y";"N";"Y";265741440;"FX";"OTM";"GNS";NA;NA;NA;NA;"11.89";"0.00";"19.40";"0.00";"0.00";"174.00";"50.00";3;"2015-03-11";"MFL";"DEU";"";"PA";"2000-01-01"
"SWE";"DEU000130630";NA;"MOD";20150712;20161015;"SFD2268";"VY21";"AXELIA";"SERNH";"Ronehamn";"SFD2268";"Y";"Y";"N";"Y";"N";"Y";265741440;"FX";"OTM";"OTB";NA;NA;NA;NA;"11.89";"0.00";"19.40";"0.00";"0.00";"174.00";"50.00";3;"2015-03-11";"MFL";"";"";"PA";"2000-01-01"
"SWE";"DEU000130630";NA;"MOD";20161016;20170228;"SFD2268";"VY21";"AXELIA";"SERNH";"Ronehamn";"SFD2268";"Y";"Y";"N";"Y";"N";"Y";265741440;"FX";"OTM";"OTB";NA;NA;NA;NA;"11.89";"0.00";"19.40";"0.00";"0.00";"174.00";"50.00";3;"2015-03-11";"MFL";"";"";"PA";"2000-01-01"
"SWE";"DEU000130630";NA;"MOD";20170301;21001231;"SFD2268";"VY21";"AXELIA";"SERNH";"Ronehamn";"SFD2268";"Y";"Y";"N";"Y";"N";"Y";265741440;"FX";"OTM";"OTB";NA;NA;NA;NA;"11.89";"0.00";"19.40";"0.00";"0.00";"174.00";"50.00";3;"2015-03-11";"MFL";"";"";"PA";"2000-01-01"
"SWE";"DNK000001225";NA;"IMP";19960701;19961231;"SFC5005";"KA124";"SOFIE";"358";"";"SFC5005";"Y";"Y";"N";"";"";"";NA;"FX";"GNS";"GNS";NA;NA;NA;NA;"6.66";"0.00";"1.33";"0.00";"0.00";"20.59";"0.00";3;"1996-07-01";"F31";"DNK";"";"PA";"1979-01-01"
"SWE";"DNK000001225";NA;"MOD";19970101;19971222;"SFC5005";"KA124";"SOFIE";"358";"";"SFC5005";"Y";"Y";"N";"";"";"";NA;"FX";"GNS";"GNS";NA;NA;NA;NA;"6.66";"0.00";"1.33";"0.00";"0.00";"20.59";"0.00";3;"1996-07-01";"4M1";"";"";"PA";"1979-01-01"
"SWE";"DNK000001225";NA;"EXP";19971223;19971223;"SFC5005";"KA124";"SOFIE";"SEHLE";"Hasslö";"SFC5005";"Y";"N";"N";"Y";"N";"N";NA;"FX";"GNS";"GNS";NA;NA;NA;NA;"6.66";"0.00";"1.33";"0.00";"0.00";"20.59";"0.00";3;"1996-07-01";"4M1";"DNK";"EX";"PA";"1979-01-01"
"SWE";"DNK000001439";NA;"IMP";20151217;20160207;"SFD2362";"LL467";"GULLBRIS";"662";"";"SFD2362";"Y";"Y";"N";"";"";"";NA;"FX";"OTB";"OTB";NA;NA;NA;NA;"10.30";"0.00";"8.75";"0.00";"0.00";"81.00";"0.00";1;"2015-12-09";"MFL";"DNK";"";"PA";"1958-01-01"
"SWE";"DNK000001439";NA;"MOD";20160208;20191121;"SFD2362";"LL467";"GULLBRIS";"662";"";"SFD2362";"Y";"Y";"N";"";"";"";NA;"FX";"OTB";"OTB";NA;NA;NA;NA;"10.30";"0.00";"8.75";"0.00";"0.00";"81.00";"0.00";1;"2015-12-09";"MFL";"";"";"PA";"1958-01-01"
"SWE";"DNK000001439";NA;"RET";20191122;20191122;"SFD2362";"LL467";"GULLBRIS";"SELYS";"Lysekil";"SFD2362";"Y";"N";"N";"Y";"N";"N";NA;"FX";"OTB";"TBN";NA;NA;NA;NA;"10.30";"0.00";"8.75";"0.00";"0.00";"81.00";"0.00";1;"2015-12-09";"MFL";"";"";"PA";"1958-01-01"
"SWE";"DNK000001560";NA;"IMP";20080219;20080219;"SFC8575";"LL15";"FELICIA";"607";"";"SFC8575";"Y";"Y";"N";"";"";"";NA;"FX";"FPO";"FPO";NA;NA;NA;NA;"8.84";"0.00";"4.46";"0.00";"0.00";"58.00";"0.00";3;"2008-02-08";"MFL";"DNK";"";"PA";"2008-01-01"
"SWE";"DNK000001560";NA;"MOD";20131129;20220215;"SFC8575";"LL15";"FELICIA";"606";"";"SFC8575";"Y";"Y";"N";"";"";"";NA;"FX";"FPO";"FPO";NA;NA;NA;NA;"8.84";"0.00";"4.46";"0.00";"0.00";"58.00";"0.00";3;"2008-02-08";"MFL";"";"";"PA";"2008-01-01"
"SWE";"DNK000001560";NA;"MOD";20220216;20230515;"SFC8575";"LL15";"FELICIA";"SEGRD";"Grundsund";"SFC8575";"Y";"Y";"N";"N";"";"N";NA;"FX";"FPO";"FPO";NA;NA;NA;NA;"8.84";"0.00";"4.46";"0.00";"0.00";"58.00";"0.00";3;"2008-02-08";"MFL";"";"";"PA";"2008-01-01"
"SWE";"DNK000001560";NA;"MOD";20230516;20231116;"SFC8575";"LL15";"FELICIA";"SEGRD";"Grundsund";"SFC8575";"Y";"Y";"N";"N";"N";"N";NA;"FX";"FPO";"FPO";NA;NA;NA;NA;"8.84";"0.00";"4.46";"0.00";"0.00";"58.00";"0.00";3;"2008-02-08";"MFL";"";"";"PA";"2008-01-01"
"SWE";"DNK000001560";NA;"MOD";20231117;20231129;"SFC8575";"LL15";"FELICIA";"SEGRD";"Grundsund";"SFC8575";"Y";"Y";"N";"N";"N";"N";NA;"FX";"FPO";"GND";NA;NA;NA;NA;"8.84";"0.00";"4.46";"0.00";"0.00";"58.00";"0.00";3;"2008-02-08";"MFL";"";"";"PA";"2008-01-01"
"SWE";"DNK000001560";NA;"MOD";20231130;20231130;"SFC8575";"LL15";"FELICIA";"SEGRD";"Grundsund";"SFC8575";"Y";"Y";"N";"N";"N";"N";NA;"FX";"FPO";"GND";NA;NA;NA;NA;"8.84";"0.00";"4.46";"0.00";"0.00";"58.00";"0.00";3;"2008-02-08";"MFL";"";"";"PA";"2008-01-01"
